Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.009999999776482582,0.012751070782542229,0,0,0
0.019999999552965164,0.012751071713864803,0,0,0
0.029999999329447746,0.011685467325150967,0,0,0
0.03999999910593033,0.010621042922139168,0,0,0
0.05000000074505806,0.007426589261740446,0,0,0
0.05999999865889549,0.004249838646501303,0,0,0
0.07000000029802322,0.004258099012076855,0,0,0
0.07999999821186066,0.006365706212818623,0,0,0
0.09000000357627869,0.005333143752068281,0,0,0
0.10000000149011612,0.009574320167303085,0,0,0
0.10999999940395355,0.009550717659294605,0,0,0
0.11999999731779099,0.007424229755997658,0,0,0
0.12999999523162842,0.007452550809830427,0,0,0
0.14000000059604645,0.007405348587781191,0,0,0
0.15000000596046448,0.0042675393633544445,0,0,0
0.1599999964237213,0.0063751470297575,0,0,0
0.17000000178813934,0.005293021444231272,0,0,0
0.18000000715255737,0.004249838646501303,0,0,0
0.1899999976158142,0.004227417521178722,0,0,0
0.20000000298023224,0.001015263143926859,0,0,0
0.20999999344348907,-0.0010392408585175872,0,0,0
0.2199999988079071,-0.00002673973904165905,0,0,0
0.23000000417232513,-0.001036880654282868,0,0,0
0.23999999463558197,-7.782752504681412e-7,0,0,0
0.25,-7.781717954458145e-7,0,0,0
0.25999999046325684,0.0010612857295200229,0,0,0
0.27000001072883606,0.0010931477881968021,0,0,0
0.2800000011920929,0.003219636157155037,0,0,0
0.28999999165534973,0.004249838646501303,0,0,0
0.30000001192092896,0.0031523725483566523,0,0,0
0.3100000023841858,0.003223176347091794,0,0,0
0.3199999928474426,0.004212075844407082,0,0,0
0.33000001311302185,0.0032644786406308413,0,0,0
0.3400000035762787,0.007477332837879658,0,0,0
0.3499999940395355,0.007355784997344017,0,0,0
0.36000001430511475,0.0031028096564114094,0,0,0
0.3700000047683716,-7.780745363561437e-7,0,0,0
0.3799999952316284,-0.001152527634985745,0,0,0
0.38999998569488525,-0.004251394420862198,0,0,0
0.4000000059604645,-0.0030949246138334274,0,0,0
0.4099999964237213,0.00004760472074849531,0,0,0
0.41999998688697815,0.002124530030414462,0,0,0
0.4300000071525574,0.0021752731408923864,0,0,0
0.4399999976158142,0.0041979155503213406,0,0,0
0.44999998807907104,0.0021245302632451057,0,0,0
0.46000000834465027,0.001008182647638023,0,0,0
0.4699999988079071,-7.782751936247223e-7,0,0,0
0.47999998927116394,0.00005586514453170821,0,0,0
0.49000000953674316,0.0032444174867123365,0,0,0
0.5,0.005370906088501215,0,0,0
0.5099999904632568,0.006435330491513014,0,0,0
0.5199999809265137,0.00843909103423357,0,0,0
0.5299999713897705,0.006312602665275335,0,0,0
0.5400000214576721,0.00424983911216259,0,0,0
0.550000011920929,0.004249838180840015,0,0,0
0.5600000023841858,0.004249838180840015,0,0,0
0.5699999928474426,0.005379166454076767,0,0,0
0.5799999833106995,0.007505654823035002,0,0,0
0.5899999737739563,0.007368766702711582,0,0,0
0.6000000238418579,0.005242278799414635,0,0,0
0.6100000143051147,0.0053838868625462055,0,0,0
0.6200000047683716,0.006375146564096212,0,0,0
0.6299999952316284,0.006449491251260042,0,0,0
0.6399999856948853,0.00850045494735241,0,0,0
0.6499999761581421,0.00850045494735241,0,0,0
0.6600000262260437,0.008500455878674984,0,0,0
0.6700000166893005,0.008500455878674984,0,0,0
0.6800000071525574,0.0074383909814059734,0,0,0
0.6899999976158142,0.00964394398033619,0,0,0
0.699999988079071,0.009481093846261501,0,0,0
0.7099999785423279,0.007270820438861847,0,0,0
0.7200000286102295,0.00433480367064476,0,0,0
0.7300000190734863,0.005140792578458786,0,0,0
0.7400000095367432,0.0009751407196745276,0,0,0
0.75,-7.782709303683077e-7,0,0,0
0.7599999904632568,-0.00009046358900377527,0,0,0
0.7699999809265137,-0.003279015887528658,0,0,0
0.7799999713897705,-0.004251394420862198,0,0,0
0.7900000214576721,-0.003096104832366109,0,0,0
0.800000011920929,-0.0020316808950155973,0,0,0
0.8100000023841858,0.0012524572666734457,0,0,0
0.8199999928474426,0.005505433771759272,0,0,0
0.8299999833106995,0.008402508683502674,0,0,0
0.8399999737739563,0.005213957279920578,0,0,0
0.8500000238418579,0.004249838646501303,0,0,0
0.8600000143051147,0.0029848020058125257,0,0,0
0.8700000047683716,0.00010188791202381253,0,0,0
0.8799999952316284,0.0032904401887208223,0,0,0
0.8899999856948853,0.004144812468439341,0,0,0
0.8999999761581421,0.0022307364270091057,0,0,0
0.9100000262260437,0.004249838646501303,0,0,0
0.9200000166893005,0.004249838180840015,0,0,0
0.9300000071525574,0.004249838180840015,0,0,0
0.9399999976158142,0.004138912074267864,0,0,0
0.949999988079071,0.0009503595647402108,0,0,0
0.9599999785423279,-0.0011761290952563286,0,0,0
0.9700000286102295,-0.0020116192754358053,0,0,0
0.9800000190734863,-7.783989417475823e-7,0,0,0
0.9900000095367432,0.0001160487809102051,0,0,0
1,0.0034226085990667343,0,0,0
1.0099999904632568,0.006255959160625935,0,0,0
1.0199999809265137,0.0031877742148935795,0,0,0
1.0299999713897705,0.005433449987322092,0,0,0
1.0399999618530273,0.0051903557032346725,0,0,0
1.0499999523162842,0.004249838180840015,0,0,0
1.059999942779541,0.00556207774206996,0,0,0
1.0700000524520874,0.007312123663723469,0,0,0
1.0800000429153442,0.007564658299088478,0,0,0
1.090000033378601,0.008500454016029835,0,0,0
1.100000023841858,0.008500454016029835,0,0,0
1.1100000143051147,0.00850045494735241,0,0,0
1.1200000047683716,0.008368287235498428,0,0,0
1.1299999952316284,0.0075705586932599545,0,0,0
1.1399999856948853,0.007169333752244711,0,0,0
1.149999976158142,0.00424983911216259,0,0,0
1.159999966621399,0.004112950526177883,0,0,0
1.1699999570846558,0.0019864619243890047,0,0,0
1.1799999475479126,-0.0012020907597616315,0,0,0
1.190000057220459,-0.0009235937613993883,0,0,0
1.2000000476837158,-7.782924171806371e-7,0,0,0
1.2100000381469727,0.0013468631077557802,0,0,0
1.2200000286102295,0.005599839612841606,0,0,0
1.2300000190734863,0.00970766693353653,0,0,0
1.2400000095367432,0.010479435324668884,0,0,0
1.25,0.00850045494735241,0,0,0
1.2599999904632568,0.007289701607078314,0,0,0
1.2699999809265137,0.005163213238120079,0,0,0
1.2799999713897705,0.0040987893007695675,0,0,0
1.2899999618530273,0.002276758896186948,0,0,0
1.2999999523162842,0.0031877742148935795,0,0,0
1.309999942779541,0.004249838646501303,0,0,0
1.3200000524520874,0.004249838180840015,0,0,0
1.3300000429153442,0.005625801160931587,0,0,0
1.340000033378601,0.008658584207296371,0,0,0
1.350000023841858,0.010625763796269894,0,0,0
1.3600000143051147,0.011687827296555042,0,0,0
1.3700000047683716,0.010625762864947319,0,0,0
1.3799999952316284,0.009400849230587482,0,0,0
1.3899999856948853,0.008336424827575684,0,0,0
1.399999976158142,0.006375146564096212,0,0,0
1.409999966621399,0.0063751470297575,0,0,0
1.4199999570846558,0.0063751470297575,0,0,0
1.4299999475479126,0.006375146564096212,0,0,0
1.440000057220459,0.0076071410439908504,0,0,0
1.4500000476837158,0.0072672804817557335,0,0,0
1.4600000381469727,0.004968502093106508,0,0,0
1.4700000286102295,0.0031865944620221853,0,0,0
1.4800000190734863,0.0007131648599170148,0,0,0
1.4900000095367432,-0.0033639809116721153,0,0,0
1.5,-0.004251394420862198,0,0,0
1.5099999904632568,-0.0030111398082226515,0,0,0
1.5199999809265137,-0.0007052807486616075,0,0,0
1.5299999713897705,0.0021245297975838184,0,0,0
1.5399999618530273,0.002124530030414462,0,0,0
1.5499999523162842,0.0019416193244978786,0,0,0
1.559999942779541,-0.0014310244005173445,0,0,0
1.5700000524520874,-0.005313458386808634,0,0,0
1.5800000429153442,-0.0028164279647171497,0,0,0
1.590000033378601,0.0014365483075380325,0,0,0
1.600000023841858,0.005689525045454502,0,0,0
1.6100000143051147,0.009942502714693546,0,0,0
1.6200000047683716,0.012559900060296059,0,0,0
1.6299999952316284,0.00917899515479803,0,0,0
1.6399999856948853,0.006375146098434925,0,0,0
1.649999976158142,0.006180434487760067,0,0,0
1.659999966621399,0.004053946118801832,0,0,0
1.6699999570846558,0.0035807376261800528,0,0,0
1.6799999475479126,0.007635462563484907,0,0,0
1.690000057220459,0.00850045494735241,0,0,0
1.7000000476837158,0.009763131849467754,0,0,0
1.7100000381469727,0.011889619752764702,0,0,0
1.7200000286102295,0.012751071713864803,0,0,0
1.7300000190734863,0.012751071713864803,0,0,0
1.7400000095367432,0.012751071713864803,0,0,0
1.75,0.012751071713864803,0,0,0
1.7599999904632568,0.01254337839782238,0,0,0
1.7699999809265137,0.00935482606291771,0,0,0
1.7799999713897705,0.007228338159620762,0,0,0
1.7899999618530273,0.005101849790662527,0,0,0
1.7999999523162842,0.0029753614217042923,0,0,0
1.809999942779541,0.0034001870080828667,0,0,0
1.8200000524520874,0.003187773982062936,0,0,0
1.8300000429153442,0.004465791396796703,0,0,0
1.840000033378601,0.006592279765754938,0,0,0
1.850000023841858,0.00850045494735241,0,0,0
1.8600000143051147,0.010001505725085735,0,0,0
1.8700000047683716,0.012751070782542229,0,0,0
1.8799999952316284,0.012751070782542229,0,0,0
1.8899999856948853,0.012528037652373314,0,0,0
1.899999976158142,0.009339485317468643,0,0,0
1.909999966621399,0.00850045494735241,0,0,0
1.9199999570846558,0.007211817428469658,0,0,0
1.9299999475479126,0.005085328593850136,0,0,0
1.940000057220459,0.004249838180840015,0,0,0
1.9500000476837158,0.004249838180840015,0,0,0
1.9600000381469727,0.004481132607907057,0,0,0
1.9700000286102295,0.0050806086510419846,0,0,0
1.9800000190734863,0.004483492579311132,0,0,0
1.9900000095367432,0.0076720453798770905,0,0,0
2,0.00850045494735241,0,0,0
2.009999990463257,0.007201196625828743,0,0,0
2.0199999809265137,0.007675584871321917,0,0,0
2.0299999713897705,0.008260900154709816,0,0,0
2.0399999618530273,0.006375146564096212,0,0,0
2.049999952316284,0.006617060862481594,0,0,0
2.059999942779541,0.009805613197386265,0,0,0
2.069999933242798,0.009319424629211426,0,0,0
2.0799999237060547,0.008500454016029835,0,0,0
2.0899999141693115,0.008253819309175014,0,0,0
2.0999999046325684,0.006127331405878067,0,0,0
2.109999895095825,0.004249838180840015,0,0,0
2.119999885559082,0.002937599318102002,0,0,0
2.130000114440918,0.0005597557756118476,0,0,0
2.140000104904175,-0.0008114871452562511,0,0,0
2.1500000953674316,0.0013150011654943228,0,0,0
2.1600000858306885,0.0036963848397135735,0,0,0
2.1700000762939453,0.007949361577630043,0,0,0
2.180000066757202,0.011945082806050777,0,0,0
2.190000057220459,0.012751071713864803,0,0,0
2.200000047683716,0.012751071713864803,0,0,0
2.2100000381469727,0.011428211815655231,0,0,0
2.2200000286102295,0.010625762864947319,0,0,0
2.2300000190734863,0.010625762864947319,0,0,0
2.240000009536743,0.010361427441239357,0,0,0
2.25,0.008765971288084984,0,0,0
2.259999990463257,0.010625762864947319,0,0,0
2.2699999809265137,0.010625762864947319,0,0,0
2.2799999713897705,0.010625763796269894,0,0,0
2.2899999618530273,0.011958063580095768,0,0,0
2.299999952316284,0.01247965544462204,0,0,0
2.309999942779541,0.010625762864947319,0,0,0
2.319999933242798,0.010625762864947319,0,0,0
2.3299999237060547,0.010625762864947319,0,0,0
2.3399999141693115,0.010625763796269894,0,0,0
2.3499999046325684,0.011965143494307995,0,0,0
2.359999895095825,0.01141051109880209,0,0,0
2.369999885559082,0.010625762864947319,0,0,0
2.380000114440918,0.010625762864947319,0,0,0
2.390000104904175,0.009281662292778492,0,0,0
2.4000000953674316,0.00850045494735241,0,0,0
2.4100000858306885,0.008500454016029835,0,0,0
2.4200000762939453,0.00850045494735241,0,0,0
2.430000066757202,0.008787211962044239,0,0,0
2.440000057220459,0.010625763796269894,0,0,0
2.450000047683716,0.011976944282650948,0,0,0
2.4600000381469727,0.012751070782542229,0,0,0
2.4700000286102295,0.012751071713864803,0,0,0
2.4800000190734863,0.012751071713864803,0,0,0
2.490000009536743,0.011395170353353024,0,0,0
2.5,0.008973662741482258,0,0,0
2.509999990463257,0.006375146098434925,0,0,0
2.5199999809265137,0.0063751470297575,0,0,0
2.5299999713897705,0.006673704367130995,0,0,0
2.5399999618530273,0.00880019273608923,0,0,0
2.549999952316284,0.010625763796269894,0,0,0
2.559999942779541,0.009261599741876125,0,0,0
2.569999933242798,0.008500454016029835,0,0,0
2.5799999237060547,0.006829473655670881,0,0,0
2.5899999141693115,0.004555476829409599,0,0,0
2.5999999046325684,0.006681965664029121,0,0,0
2.609999895095825,0.00850045494735241,0,0,0
2.619999885559082,0.008809633553028107,0,0,0
2.630000114440918,0.011998186819255352,0,0,0
2.640000104904175,0.01106592919677496,0,0,0
2.6500000953674316,0.006812952924519777,0,0,0
2.6600000858306885,0.0028738754335790873,0,0,0
2.6700000762939453,0.00043230794835835695,0,0,-0.037561964243650436
2.680000066757202,-0.0018098275177180767,0,0,-0.08094814419746399
2.690000057220459,-7.782130637679074e-7,0,0,-0.11412084102630615
2.700000047683716,-7.782752504681412e-7,0,0,-0.13708007335662842
2.7100000381469727,-0.0027645051013678312,0,0,-0.1498258113861084
2.7200000286102295,-0.005955417174845934,-0.00008371807052753866,-0.008395061828196049,-0.15235808491706848
2.7300000190734863,-0.009886234998703003,-0.00019513697770889848,-0.011141975410282612,-0.14467687904834747
2.740000009536743,-0.010950660333037376,-0.00030655585578642786,-0.011141975410282612,-0.12678217887878418
2.75,-0.012428108602762222,-0.0004179747775197029,-0.011141975410282612,-0.059986598789691925
2.759999990463257,-0.011689383536577225,-0.0005293936701491475,-0.011141975410282612,0.060324233025312424
2.7699999809265137,-0.010954199358820915,-0.000640812620986253,-0.011141975410282612,0.1849399209022522
2.7799999713897705,-0.014470811933279037,-0.0007522315136156976,-0.011141975410282612,0.29152023792266846
2.7899999618530273,-0.017661724239587784,-0.0008636504062451422,-0.011141975410282612,0.36982354521751404
2.799999952316284,-0.02264634519815445,-0.0008888889569789171,-0.0024999999441206455,0.41748642921447754
2.809999942779541,-0.0264980960637331,-0.000802400812972337,0.00867283996194601,0.43450891971588135
2.819999933242798,-0.031482718884944916,-0.0006909819203428924,0.011141975410282612,0.46056312322616577
2.8299999237060547,-0.03573569655418396,-0.0004924592794850469,0.019876543432474136,0.4592688977718353
2.8399999141693115,-0.03859147056937218,-0.0002696214069146663,0.022283950820565224,0.3771671652793884
2.8499999046325684,-0.0417800210416317,-0.000046783599827904254,0.022283950820565224,0.2512572109699249
2.859999895095825,-0.04390650987625122,0.00017605419270694256,0.022283950820565224,0.14298869669437408
2.869999885559082,-0.04463225230574608,0.000487226847326383,0.03114197589457035,0.03306014835834503
2.880000114440918,-0.04497211426496506,0.0008214836125262082,0.03342592716217041,-0.07897860556840897
2.890000104904175,-0.04675756022334099,0.0010667898459360003,0.02450617402791977,-0.14222900569438934
2.9000000953674316,-0.048504069447517395,0.0012896276311948895,0.022283950820565224,-0.18499618768692017
2.9100000858306885,-0.05241364240646362,0.0015124655328691006,0.022283950820565224,-0.2584882080554962
2.9200000762939453,-0.054884713143110275,0.0016454295255243778,0.013271605595946312,-0.2824603319168091
2.930000066757202,-0.057729870080947876,0.0017568484181538224,0.011141975410282612,-0.2349381148815155
2.940000057220459,-0.060918424278497696,0.001868267310783267,0.011141975410282612,-0.15728193521499634
2.950000047683716,-0.06198284775018692,0.00197968608699739,0.011141975410282612,-0.06749899685382843
2.9600000381469727,-0.0669320598244667,0.0020000000949949026,0.002006172901019454,0.06581080704927444
